,名次,馬號,馬名,騎師,練馬師,實際 負磅,排位 體重,檔位,頭馬 距離,沿途 走位,完成 時間,獨贏 賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
5,6,3,好友無敵(A217),黎海榮,文家良,131,1091,7,3-1/2,6 7 6 6,1:23.22,54.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
11,12,4,尚方寶駒(D502),莫雷拉,方嘉柏,131,1191,4,9-1/4,4 5 4 12,1:24.13,3.7,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
7,8,5,東龍陣(B394),薛恩,容天鵬,131,1146,11,4,1 1 1 8,1:23.32,40.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
8,9,6,非凡魅力(D102),潘頓,賀賢,130,1098,13,5-1/4,14 9 9 9,1:23.48,6.8,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
1,2,7,爆谷(D307),田泰安,告東尼,130,984,12,1/2,13 13 12 2,1:22.76,7.5,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,True
13,14,8,森林烈火(E214),何澤堯,呂健威,128,1063,2,15,2 3 5 14,1:25.05,42.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
3,4,9,水星二號(D303),巫顯東,苗禮德,122,1238,14,1-1/4,12 14 14 4,1:22.87,21.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
9,10,10,驍鎰(D439),周俊樂,韋達,120,1202,3,5-3/4,8 8 11 10,1:23.60,39.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
12,13,11,愛逍遙(D190),黃俊,徐雨石,115,1054,8,11,5 4 3 13,1:24.43,19.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
0,1,12,得賞(B288),梁家俊,葉楚航,120,1048,6,-,9 10 8 1,1:22.66,11.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,True,True
2,3,13,行樂之光(D331),賀銘年,蘇偉賢,118,1119,10,1-1/4,11 11 10 3,1:22.86,67.0,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,True
6,7,14,輝煌巨星(C046),波健士,蘇保羅,118,1058,1,3-3/4,7 6 7 7,1:23.27,6.7,2021-09-05,1,沙田,第五班,1400米,好地,"HK$ 780,000",12,14,False,False
5,6,1,佳景福星(C454),班德禮,葉楚航,133,1157,1,2-1/2,8 7 6,0:56.41,9.7,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,False
7,8,2,綠色時代(D392),莫雷拉,方嘉柏,130,1077,6,7-1/2,4 4 8,0:57.20,10.0,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,False
3,4,3,加州凱歌(D067),田泰安,告東尼,129,1283,5,1/2,7 8 4,0:56.10,8.6,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,False
2,3,4,合衷共濟(B250),潘頓,賀賢,129,1107,4,1/2,2 2 3,0:56.09,3.5,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,True
0,1,5,會長之星(C205),周俊樂,韋達,121,1167,3,-,6 3 1,0:56.01,7.5,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,True,True
1,2,6,心之行(E380),何澤堯,呂健威,119,1096,2,頸位,3 5 2,0:56.07,47.0,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,True
4,5,7,輗多福(E105),史卓豐,大衛希斯,119,1256,8,3/4,1 1 5,0:56.15,3.0,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,False
6,7,8,勝意龍(E253),巴度,蘇偉賢,118,1126,7,5-1/4,5 6 7,0:56.86,7.3,2021-09-05,2,沙田,第三班,1000米,好地,"HK$ 1,570,000",5,8,False,False
0,1,1,包裝長勝(E373),潘頓,沈集成,133,1188,4,-,2 1 1,1:09.23,1.5,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,True,True
4,5,2,威威心得(B052),梁家俊,蘇保羅,130,1064,12,3-3/4,11 10 5,1:09.82,15.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
9,10,3,步履娛飛(C289),田泰安,蘇偉賢,128,1213,5,6-1/2,4 3 10,1:10.28,16.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
6,7,4,專一(D191),陳嘉熙,葉楚航,121,1077,11,4-3/4,12 12 7,1:09.98,52.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
1,2,5,多多歡笑(E362),莫雷拉,鄭俊偉,125,1080,8,2-3/4,5 5 2,1:09.69,6.6,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,True
7,8,6,觔斗雲(E249),班德禮,姚本輝,124,1128,10,4-3/4,10 11 8,1:10.00,21.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
11,12,7,精算其然(E307),何澤堯,呂健威,124,1057,3,8-3/4,1 2 12,1:10.62,109.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
8,9,8,勇眼光(D487),史卓豐,大衛希斯,121,1270,1,5-1/2,6 6 9,1:10.10,9.9,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
5,6,9,一路順風(C453),霍宏聲,苗禮德,120,1095,7,4-1/4,8 9 6,1:09.91,70.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
10,11,10,華美福星(E086),巴度,告東尼,118,1137,6,7-1/4,9 8 11,1:10.40,151.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
3,4,11,赤水神駒(V364),黃俊,葉楚航,108,1185,2,3-1/4,3 4 4,1:09.76,105.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,False
2,3,12,快樂歡騰(B272),蔡明紹,葉楚航,113,1184,9,3,7 7 3,1:09.71,15.0,2021-09-05,3,沙田,第四班,1200米,好地,"HK$ 1,040,000",1,12,False,True
12,13,1,君達星(B019),波健士,丁冠豪,133,1186,5,16-3/4,1 1 13,1:10.78,51.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
1,2,2,錶之未來(D422),周俊樂,呂健威,123,1232,10,1,2 2 2,1:08.27,4.1,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,True
6,7,3,有理共想(B180),梁家俊,葉楚航,127,1188,8,4,12 12 7,1:08.74,30.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
2,3,4,韋小寶(C188),潘頓,蘇保羅,124,1139,7,1,3 3 3,1:08.28,7.9,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,True
8,9,5,大籐王(A061),史卓豐,高伯新,124,1144,9,4-3/4,10 11 9,1:08.89,26.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
9,10,6,二郎(C019),蔡明紹,告東尼,123,1171,11,6,4 4 10,1:09.07,140.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
10,11,7,烽煙四喜(A036),班德禮,苗禮德,122,1205,4,7-1/4,9 10 11,1:09.26,183.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
3,4,8,夢想成金(D358),何澤堯,羅富全,120,1170,1,3-1/2,5 6 4,1:08.65,5.6,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
5,6,9,飛輪閃耀(E054),巴度,沈集成,119,1222,2,4,13 13 6,1:08.73,12.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
4,5,10,加州雷電(D147),潘明輝,告東尼,112,1233,13,3-3/4,8 7 5,1:08.70,28.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
7,8,11,明駿之星(C229),莫雷拉,蔡約翰,115,1182,12,4-1/2,11 9 8,1:08.83,23.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
0,1,12,肥仔叻叻(E354),田泰安,大衛希斯,113,1377,6,-,7 8 1,1:08.11,2.7,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,True,True
11,12,13,飛霸龍(B033),巫顯東,苗禮德,110,1112,3,8,6 5 12,1:09.39,24.0,2021-09-05,4,沙田,第一班,1200米,好地,"HK$ 3,150,000",12,13,False,False
0,1,1,瑪神好運(E024),馬雅,大衛希斯,132,1048,7,-,3 3 1,1:09.93,8.3,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,True,True
5,6,2,劍在九天(E078),潘頓,沈集成,132,1075,9,3-1/2,10 10 6,1:10.50,3.7,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
9,10,3,幸運拼圖(D112),田泰安,徐雨石,130,987,11,4-1/2,13 13 10,1:10.65,12.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
3,4,4,陽明冠爵(D240),周俊樂,韋達,123,1087,1,1-3/4,4 5 4,1:10.19,6.6,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
7,8,5,挺秀精神(E027),蔡明紹,告東尼,128,1199,10,4,8 6 8,1:10.58,80.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
6,7,6,天天智庫(D231),薛恩,容天鵬,127,1020,12,3-3/4,1 1 7,1:10.52,11.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
4,5,7,獵狐章者(B187),何澤堯,呂健威,127,1005,6,3-1/4,9 7 5,1:10.45,9.1,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
1,2,8,龍鳳情祥(B185),黎海榮,文家良,124,1103,3,1-1/4,5 4 2,1:10.14,27.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,True
11,12,9,葵涌精英(C173),史卓豐,丁冠豪,122,1071,5,6-1/4,6 8 12,1:10.94,19.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
8,9,10,開心一號(C486),梁家俊,葉楚航,122,1052,4,4-1/4,2 2 9,1:10.63,11.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
13,14,11,威力喜(D074),霍宏聲,霍利時,122,978,8,11-1/4,12 11 14,1:11.75,111.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
10,11,12,白鷺盛世(D163),巫顯東,苗禮德,116,1070,13,6,14 14 11,1:10.88,23.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
2,3,13,坪山新星(C242),莫雷拉,鄭俊偉,117,1018,14,1-1/2,11 9 3,1:10.15,7.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,True
12,13,14,喜又盈(C515),潘明輝,何良,114,1009,2,10-1/4,7 12 13,1:11.59,89.0,2021-09-05,5,沙田,第五班,1200米,好地,"HK$ 780,000",1,14,False,False
5,6,1,蟲草成名(E363),彭國年,高伯新,133,1100,5,5-3/4,12 10 6,0:56.61,16.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
7,8,2,富高八斗(B473),周俊樂,姚本輝,126,1133,11,6,6 6 8,0:56.68,14.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
3,4,3,辣得交關(E118),莫雷拉,沈集成,126,1145,4,3-3/4,5 5 4,0:56.32,16.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
10,11,4,電子赤兔(E338),楊明綸,韋達,125,1023,9,10-1/4,8 11 11,0:57.35,179.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
12,13,5,龍東傳承(E158),梁家俊,丁冠豪,125,1222,7,13-3/4,10 7 13,0:57.92,42.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
0,1,6,緊張大師(E421),潘頓,大衛希斯,125,1233,10,-,1 1 1,0:55.71,1.3,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,True,True
1,2,7,電路七號(D474),潘明輝,告東尼,121,1084,2,3,4 3 2,0:56.17,82.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,True
8,9,8,育成精彩(E359),巴度,葉楚航,122,1117,13,6-1/4,9 9 9,0:56.70,22.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
2,3,9,連利福將(B475),班德禮,葉楚航,121,1140,14,3-1/4,13 12 3,0:56.24,8.9,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,True
13,14,10,奇妙飛揚(E326),何澤堯,呂健威,120,1140,1,15-3/4,11 14 14,0:58.24,208.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
6,7,11,大武士(B216),陳嘉熙,沈集成,113,1176,6,6,7 8 7,0:56.66,64.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
9,10,12,進優自在(D258),黎海榮,文家良,115,1065,12,6-1/2,14 13 10,0:56.76,44.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
4,5,13,友誼至佳(E208),波健士,韋達,114,1161,3,5-1/4,2 2 5,0:56.53,71.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
11,12,14,小武士(E267),田泰安,方嘉柏,114,1129,8,10-1/2,3 4 12,0:57.37,113.0,2021-09-05,6,沙田,第四班,1000米,好地,"HK$ 1,040,000",6,14,False,False
4,5,1,得力寶駒(E270),周俊樂,呂健威,128,1085,11,4,1 1 5,1:10.04,7.2,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
5,6,2,興高采烈(E197),潘頓,蘇保羅,132,1017,4,4,5 5 6,1:10.05,19.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
6,7,3,眾歡笑(D038),史卓豐,高伯新,128,1025,6,4,11 11 7,1:10.05,11.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
10,11,4,精益傳奇(E008),蔡明紹,葉楚航,124,1149,7,14-1/4,6 8 11,1:11.69,172.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
9,10,5,包裝威王(E371),潘明輝,沈集成,122,1118,10,5-1/2,10 10 10,1:10.29,22.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
7,8,6,電訊犇豹(D405),班德禮,葉楚航,122,1155,3,4-1/2,9 9 8,1:10.12,144.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
8,9,7,當家信心(E153),莫雷拉,蔡約翰,122,1123,9,4-1/2,3 4 9,1:10.14,5.7,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
3,4,8,醒旺財(D208),巴度,韋達,120,1127,8,2-3/4,2 2 4,1:09.83,3.9,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,False
0,1,9,怪獸奇兵(E369),梁家俊,文家良,120,1109,1,-,7 6 1,1:09.41,10.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,True,True
2,3,10,樂天派(E166),楊明綸,大衛希斯,114,1080,5,2-1/2,8 7 3,1:09.79,26.0,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,True
1,2,11,遨遊之星(C098),田泰安,容天鵬,113,1254,2,1-1/4,4 3 2,1:09.60,3.2,2021-09-05,7,沙田,第四班,1200米,好地,"HK$ 1,040,000",9,11,False,True
5,6,1,超級綠洲(D085),周俊樂,呂健威,128,1162,9,3,4 8 11 6,1:22.10,9.5,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
3,4,2,勝賢(D169),莫雷拉,方嘉柏,131,1062,13,1-3/4,8 11 10 4,1:21.90,3.5,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
1,2,3,好玩福星(E013),潘頓,沈集成,130,1124,2,1/2,3 4 3 2,1:21.70,3.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,True
6,7,4,美麗非凡(D023),薛恩,蔡約翰,129,1193,8,4-1/4,9 10 8 7,1:22.27,8.8,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
8,9,5,時時順意(D480),何澤堯,羅富全,128,1105,3,6,7 6 7 9,1:22.57,51.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
7,8,6,一舖縱橫(B385),蔡明紹,葉楚航,122,1078,4,4-1/4,11 9 9 8,1:22.29,23.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
4,5,7,拍馬難追(E234),霍宏聲,苗禮德,122,1145,12,2-1/4,1 1 1 5,1:21.97,41.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
11,12,8,機緣在握(E305),黃皓楠,高伯新,114,1150,11,9-3/4,12 13 13 12,1:23.18,305.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
0,1,9,將耀(C429),田泰安,告東尼,117,1106,7,-,10 7 4 1,1:21.61,4.4,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,True,True
10,11,10,妙算歡騰(E383),潘明輝,丁冠豪,114,1181,10,9-3/4,2 3 5 11,1:23.18,85.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
2,3,11,成才(B085),楊明綸,大衛希斯,115,1176,5,3/4,6 2 2 3,1:21.72,53.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,True
9,10,12,威進駒(A326),波健士,呂健威,115,1152,6,6-3/4,13 12 12 10,1:22.67,50.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
12,13,13,奮鬥齊心(D349),巫顯東,徐雨石,111,1097,1,14-3/4,5 5 6 13,1:23.98,182.0,2021-09-05,9,沙田,第三班,1400米,好地,"HK$ 1,570,000",9,13,False,False
5,6,1,濃有(C244),周俊樂,文家良,125,1099,11,5-3/4,4 3 6,0:57.42,24.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
9,10,2,鼓浪陽光(E063),何澤堯,呂健威,129,1143,4,7-1/4,9 10 10,0:57.67,11.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
10,11,3,頌聖(E171),霍宏聲,霍利時,128,1048,6,8-3/4,5 8 11,0:57.93,50.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
11,12,4,紅酒之星(D194),黃皓楠,丁冠豪,123,1092,1,9,6 4 12,0:57.94,21.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
4,5,5,蒜頭本色(D160),潘明輝,葉楚航,122,1059,2,5-1/4,10 6 5,0:57.37,5.9,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
1,2,6,中華精神(D148),田泰安,何良,123,1152,12,2,2 2 2,0:56.82,7.1,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,True
6,7,7,椰子糖(D437),巫顯東,徐雨石,120,1096,10,5-3/4,11 11 7,0:57.45,47.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
2,3,8,隨我來(B300),黎海榮,何良,122,1041,3,3-3/4,3 5 3,0:57.12,32.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,True
3,4,9,榮彩大道(C340),潘頓,葉楚航,121,1218,7,4-3/4,8 7 4,0:57.26,8.4,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
0,1,10,有苗頭(D097),莫雷拉,徐雨石,119,1015,8,-,1 1 1,0:56.52,2.3,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,True,True
7,8,11,奔達之星(D244),彭國年,葉楚航,119,1164,5,6-1/4,12 12 8,0:57.50,115.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
8,9,12,趣怡(D242),巴度,蘇偉賢,118,1061,9,6-1/2,7 9 9,0:57.55,10.0,2021-09-08,1,跑馬地,第五班,1000米,好地至快地,"HK$ 780,000",10,12,False,False
8,9,1,美麗友盈(C124),梁家俊,文家良,131,1072,4,5-1/2,3 4 9,1:10.10,8.3,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
0,1,2,木火同明(C460),田泰安,何良,131,1071,9,-,9 8 1,1:09.21,16.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,True,True
2,3,3,管得掂(D248),何澤堯,呂健威,130,1075,1,3/4,2 1 3,1:09.35,3.4,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,True
9,10,4,日日靚(D070),霍宏聲,方嘉柏,127,1147,6,6-1/4,11 11 10,1:10.20,60.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
6,7,5,開心有利(E160),潘頓,沈集成,126,1044,12,3-3/4,1 2 7,1:09.80,8.1,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
10,11,6,財照發(E007),莫雷拉,蘇偉賢,125,1118,10,6-1/4,7 9 11,1:10.22,7.7,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
7,8,7,騰駿(E391),班德禮,高伯新,124,1198,8,4-3/4,10 10 8,1:09.98,147.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
3,4,8,金獅大將(E057),薛恩,大衛希斯,121,1083,3,2-1/4,8 5 4,1:09.56,10.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
1,2,9,福滿寶(D118),史卓豐,賀賢,119,1037,5,3/4,6 6 2,1:09.33,4.7,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,True
4,5,10,極爽(C131),黃皓楠,丁冠豪,115,1075,2,2-1/2,4 3 5,1:09.61,10.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
5,6,11,天意(V417),蔡明紹,蘇保羅,115,1173,11,3-1/2,12 12 6,1:09.76,53.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
11,12,12,赤水神駒(V364),黃俊,葉楚航,108,1182,7,7-1/4,5 7 12,1:10.37,20.0,2021-09-08,2,跑馬地,第四班,1200米,好地至快地,"HK$ 1,040,000",2,12,False,False
1,2,1,百勝名駒(E230),何澤堯,呂健威,133,1102,4,1/2,7 6 6 2,1:39.43,14.0,2021-09-08,3,跑馬地,第四班,1650米,好地至快地,"HK$ 1,040,000",6,12,False,True
2,3,2,優悠皇(C399),田泰安,苗禮德,133,1011,8,1/2,9 8 8 3,1:39.44,9.7,2021-09-08,3,跑馬地,第四班,1650米,好地至快地,"HK$ 1,040,000",6,12,False,True
