,名次,馬號,馬名,騎師,練馬師,實際負磅,排位體重,檔位,頭馬距離,沿途走位,完成時間,獨贏賠率,Date,RaceNo,Venue,Class,Distance,VenueCondition,RaceStakes,WinnerNo,nHorse,Winner,PLACE
3,4,1,翡翠綠(C056),巴度,苗禮德,133,1115,8,1-1/2,8 8 6 4,1:22.50,10.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
0,1,2,凌駕(C386),莫雷拉,蔡約翰,133,1100,14,-,9 3 2 1,1:22.25,13.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,True,True
10,11,3,芙蓉莊(B339),周俊樂,姚本輝,122,1030,4,5-1/2,10 12 12 11,1:23.14,18.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
1,2,4,心頭好(D360),潘頓,沈集成,131,1082,10,1-1/4,1 1 1 2,1:22.44,4.1,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,True
7,8,5,恆駿寶駒(T262),波健士,蘇偉賢,130,1125,11,3-3/4,12 11 11 8,1:22.85,16.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
2,3,6,心中有您(B283),薛恩,賀賢,130,1081,1,1-1/4,2 4 4 3,1:22.45,2.5,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,True
6,7,7,醉醒神(B436),何澤堯,呂健威,127,1063,6,3-1/2,11 10 10 7,1:22.83,46.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
13,14,8,勝出魅力(D192),賀銘年,韋達,125,1209,3,8-3/4,7 7 7 14,1:23.67,62.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
4,5,9,電訊火箭(C137),史卓豐,徐雨石,125,1056,5,3,6 9 9 5,1:22.75,11.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
5,6,10,中華之光(A168),蔡明紹,葉楚航,119,1105,12,3-1/2,14 13 13 6,1:22.82,49.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
9,10,11,都會之星(C396),梁家俊,容天鵬,118,1061,2,5-1/4,3 6 8 10,1:23.11,280.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
8,9,12,軍炮(V371),陳嘉熙,葉楚航,110,1186,13,5,4 2 3 9,1:23.07,16.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
11,12,13,開心歡呼(C536),黎海榮,沈集成,115,1147,9,6,13 14 14 12,1:23.22,301.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
12,13,14,一代莊主(C419),田泰安,霍利時,115,1112,7,8-3/4,5 5 5 13,1:23.66,13.0,2020-09-06,5,沙田,第四班,1400米,好地,"HK$ 1,000,000",2,14,False,False
9,10,1,地通拿(D346),黎海榮,霍利時,133,1057,14,5,4 4 10,0:56.74,197.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
0,1,2,路路之星(C031),賀銘年,苗禮德,133,1167,1,-,9 5 1,0:55.93,10.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,True,True
3,4,3,都柏名駒(C436),何澤堯,文家良,131,1218,8,1-3/4,11 12 4,0:56.19,5.8,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
10,11,4,陽剛武士(C328),薛恩,大衛希斯,131,1092,11,5-1/4,13 11 11,0:56.76,9.5,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
11,12,5,開心好友(B466),陳嘉熙,姚本輝,123,1133,3,6,3 7 12,0:56.91,76.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
2,3,6,同有友(D048),周俊樂,沈集成,116,1201,4,1-1/2,2 1 3,0:56.17,3.3,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,True
5,6,7,大醇威(D150),楊明綸,方嘉柏,126,1152,9,2-3/4,5 8 6,0:56.38,37.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
4,5,8,管得掂(D248),潘明輝,呂健威,123,1103,7,2-1/4,1 2 5,0:56.31,41.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
1,2,9,飛馬輝煌(D337),梁家俊,丁冠豪,125,1121,6,1/2,6 3 2,0:56.01,20.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,True
7,8,10,福星高照(D407),潘頓,容天鵬,125,1190,5,4-3/4,8 9 8,0:56.68,9.2,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
12,13,11,好運多寶(D400),郭能,告東尼,124,1316,10,7,10 13 13,0:57.03,65.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
6,7,12,自在人生(B169),莫雷拉,羅富全,122,1129,13,3-1/4,12 10 7,0:56.45,5.7,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
13,14,13,虎視眈眈(D290),巫顯東,何良,116,1020,12,9-1/2,14 14 14,0:57.44,188.0,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
8,9,14,紅旺(C341),波健士,葉楚航,115,1180,2,5,7 6 9,0:56.71,8.3,2020-09-06,6,沙田,第四班,1000米,好地,"HK$ 1,000,000",2,14,False,False
3,4,1,大俠士(C373),賀銘年,沈集成,133,1145,7,2-1/4,2 3 4,0:56.13,18.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
1,2,2,奮鬥同心(C314),陳嘉熙,姚本輝,125,1138,9,頸位,1 1 2,0:55.83,11.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,True
13,14,3,信威王子(D383),郭能,霍利時,132,1010,1,10-3/4,11 13 14,0:57.48,376.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
11,12,4,青蛙王子(D324),周俊樂,何良,119,1181,13,6-3/4,14 14 12,0:56.85,89.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
12,13,5,無敵勇士(C483),史卓豐,文家良,129,1222,4,7,6 9 13,0:56.88,5.9,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
0,1,6,精彩勇士(D387),潘頓,大衛希斯,123,1129,11,-,3 2 1,0:55.78,3.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,True,True
5,6,7,事事亨通(D174),巴度,高伯新,121,1232,8,2-3/4,5 5 6,0:56.21,7.9,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
2,3,8,各取所需(C474),田泰安,韋達,121,1043,5,2,8 7 3,0:56.08,8.5,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,True
6,7,9,電訊琪峯(D368),波健士,蘇偉賢,121,1072,12,3,12 12 7,0:56.27,344.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
9,10,10,禪勝寶駒(D270),莫雷拉,呂健威,118,1156,3,5-1/2,10 8 10,0:56.64,8.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
10,11,11,嘉應精英(C240),楊明綸,容天鵬,118,1156,6,6-1/4,4 4 11,0:56.77,9.8,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
7,8,12,陽光戰駒(D265),黃俊,告東尼,111,1251,10,3-1/2,13 11 8,0:56.33,293.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
4,5,13,二話不說(C134),梁家俊,葉楚航,116,1122,2,2-1/2,9 10 5,0:56.19,18.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
8,9,14,贏多多(C004),潘明輝,丁冠豪,112,1074,14,4-1/2,7 6 9,0:56.48,45.0,2020-09-06,7,沙田,第三班,1000米,好地,"HK$ 1,500,000",6,14,False,False
7,8,1,有理共想(B180),潘頓,葉楚航,133,1187,6,3-1/2,7 8 8,1:08.99,11.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
4,5,2,大籐王(A061),史卓豐,高伯新,132,1165,10,2-3/4,11 10 5,1:08.86,16.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
5,6,3,勝得精彩(C061),莫雷拉,蔡約翰,126,1102,3,2-3/4,2 2 6,1:08.87,3.9,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
1,2,4,旌暉(V077),周俊樂,姚本輝,116,1098,7,1-1/2,8 7 2,1:08.66,39.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,True
6,7,5,載譽歸來(C215),何澤堯,羅富全,125,1132,4,3-1/4,6 6 7,1:08.92,11.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
0,1,6,最合拍(B393),巴度,沈集成,121,1122,8,-,4 4 1,1:08.42,8.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,True,True
9,10,7,美麗非凡(D023),郭能,蔡約翰,120,1189,11,4-1/4,10 11 10,1:09.08,11.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
8,9,8,君達星(B019),波健士,丁冠豪,118,1185,9,3-3/4,1 1 9,1:09.03,19.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
10,11,9,明駿之星(C229),蔡明紹,蔡約翰,118,1155,1,6,5 5 11,1:09.37,13.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
3,4,10,錶之智能(D139),田泰安,告東尼,117,1135,5,2,3 3 4,1:08.75,3.4,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,False
2,3,11,勝利風範(C186),潘明輝,呂健威,111,1148,2,2,9 9 3,1:08.72,14.0,2020-09-06,8,沙田,第一班,1200米,好地,"HK$ 3,000,000",6,11,False,True
1,2,1,將耀(C429),田泰安,告東尼,133,1088,3,短馬頭位,7 6 4 2,1:21.67,7.2,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,True
13,14,2,超霸神駒(D353),蔡明紹,沈集成,132,1058,1,12,2 1 2 14,1:23.55,200.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
10,11,3,蟲草之星(B070),何澤堯,呂健威,131,1190,8,5,8 3 3 11,1:22.43,8.9,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
0,1,4,勁搏(D386),莫雷拉,蔡約翰,131,1050,6,-,6 7 9 1,1:21.65,2.4,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,True,True
6,7,5,帝豪寶寶(A050),潘頓,沈集成,131,1203,4,2,4 5 5 7,1:21.96,13.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
3,4,6,志在四方(C140),史卓豐,韋達,131,1119,10,1-1/4,10 10 7 4,1:21.85,7.8,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
8,9,7,天池怪俠(B350),賀銘年,蘇偉賢,128,1156,12,2-3/4,13 13 10 9,1:22.08,200.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
7,8,8,健康在望(C172),梁家俊,苗禮德,125,1020,11,2-1/2,12 11 13 8,1:22.04,30.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
5,6,9,星運明爵(C431),郭能,方嘉柏,125,1132,14,1-1/2,11 12 12 6,1:21.88,12.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
9,10,10,魅影揚飛(A354),潘明輝,姚本輝,122,1228,2,3-1/4,3 4 6 10,1:22.17,14.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
12,13,11,金融才雋(D389),薛恩,大衛希斯,123,1168,9,6-1/2,9 9 8 13,1:22.70,42.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
4,5,12,傳奇(V357),波健士,呂健威,119,1126,5,1-1/2,1 2 1 5,1:21.87,75.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
2,3,13,佳運來(T380),黃皓楠,徐雨石,112,994,13,頸位,14 14 14 3,1:21.70,43.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,True
11,12,14,天生一對(C027),巴度,丁冠豪,115,1094,7,5,5 8 11 12,1:22.46,10.0,2020-09-06,9,沙田,第三班,1400米,好地,"HK$ 1,500,000",4,14,False,False
4,5,1,驫驫(A315),周俊樂,何良,123,1146,5,4-1/4,9 5 5,0:58.29,7.8,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
10,11,2,怡昌福星(B357),賀銘年,苗禮德,130,1077,8,7,8 8 11,0:58.70,11.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
8,9,3,好攻勢(C334),黎海榮,徐雨石,129,1153,4,6-1/2,10 9 9,0:58.62,73.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
0,1,4,仍然贏(C388),田泰安,蘇偉賢,129,1092,1,-,5 3 1,0:57.60,6.3,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,True,True
1,2,5,爪皇轟天(A291),郭能,霍利時,128,1114,2,2,1 1 2,0:57.94,4.9,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,True
7,8,6,箭神寶(C384),黃俊,徐雨石,122,1170,9,6,2 4 8,0:58.56,25.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
11,12,7,鼓浪威風(C088),梁家俊,姚本輝,127,1243,6,7,7 7 12,0:58.73,13.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
3,4,8,晨曦寶馬(C023),潘頓,方嘉柏,123,1117,11,3-1/2,6 10 4,0:58.15,5.5,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
5,6,9,喜奔騰(B143),莫雷拉,文家良,120,1071,12,5-3/4,11 11 6,0:58.52,6.9,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
6,7,10,金剛秀(T436),蔡明紹,鄭俊偉,118,1108,7,5-3/4,12 12 7,0:58.53,14.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
2,3,11,勁飛聖(T361),巴度,容天鵬,117,1087,10,3,4 6 3,0:58.07,13.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,True
9,10,12,香江穩勝(T254),潘明輝,鄭俊偉,114,1288,3,6-1/2,3 2 10,0:58.65,22.0,2020-09-09,1,跑馬地,第五班,1000米,好地,"HK$ 750,000",4,12,False,False
7,8,1,贏科超影(A164),史卓豐,高伯新,133,1020,11,5-3/4,11 12 11 8,1:41.01,27.0,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
8,9,2,新界之星(A081),潘明輝,鄭俊偉,124,1051,7,10,10 11 12 9,1:41.67,36.0,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
3,4,3,陽明高高(B132),何澤堯,呂健威,126,1090,9,4-1/4,4 4 4 4,1:40.75,4.7,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
9,10,4,龍船(V186),田泰安,鄭俊偉,125,1093,8,12,9 10 9 10,1:42.01,17.0,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
4,5,5,精彩飛動(B095),莫雷拉,方嘉柏,125,1035,3,4-3/4,7 7 7 5,1:40.84,4.7,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
1,2,6,泰益善(B358),潘頓,沈集成,123,1084,1,1-1/4,5 6 6 2,1:40.26,5.5,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,True
5,6,7,快閃的(A189),巴度,霍利時,123,1060,5,4-3/4,8 8 8 6,1:40.86,17.0,2020-09-09,2,跑馬地,第四班,1650米,好地,"HK$ 1,000,000",12,12,False,False
